category,urgency,ward,english_summary,raw_text,timestamp
Infrastructure,High,Mtopanga,"Huku Mtopanga road damaged kabisa, vehicles cannot pass tangu week(s) mbili.","Huku Mtopanga barabara zimeharibika kabisa, gari hazipiti tangu wiki mbili.",2026-07-06T10:32:08.599339+00:00
Environment,Medium,Changamwe,"Kuna smoke mzito kutoka kwa factory karibu na Changamwe, children wanashindwa kupumua vizuri.","Kuna moshi mzito kutoka kwa kiwanda karibu na Changamwe, watoto wanashindwa kupumua vizuri.",2026-07-11T10:32:09.002648+00:00
Water,Medium,Bamburi,"Water hasn't reached our estate in Bamburi for 5 days, tunateseka sana.","Water hasn't reached our estate in Bamburi for 5 days, tunateseka sana.",2026-07-15T10:32:09.991870+00:00
Environment,Medium,Likoni,"garbage zimejaa kwa mtaro wetu Likoni, smell bad na mosquitoes wengi.","Taka zimejaa kwa mtaro wetu Likoni, harufu mbaya na mbu wengi.",2026-06-30T10:32:10.571294+00:00
Infrastructure,Medium,Nyali,Sisi hapa Nyali we have no shida kubwa lakini taa za barabarani hazifanyi kazi at night,Sisi hapa Nyali hatuna shida kubwa lakini taa za barabarani hazifanyi kazi usiku.,2026-07-17T10:32:11.568132+00:00
Environment,High,Kisauni,"Emergency! Kuna dampo la takataka linalowaka Kisauni, smoke unaingia nyumbani.","Emergency! Kuna dampo la takataka linalowaka Kisauni, moshi unaingia nyumbani.",2026-07-19T10:32:12.565291+00:00
Education,Medium,Mwembe Tayari,"school ya msingi Mwembe Tayari haina toilet kinachofanya kazi, children are suffering","Shule ya msingi Mwembe Tayari haina choo kinachofanya kazi, watoto wanaumia.",2026-06-20T10:32:13.551163+00:00
Health,Medium,Port Reitz,hospital ya Port Reitz haina medicine za malaria tangu mwezi jana.,Hospitali ya Port Reitz haina dawa za malaria tangu mwezi jana.,2026-06-25T10:32:14.546626+00:00
Infrastructure,High,Mikindani,"road ya Mikindani ina mashimo makubwa, pikipiki zinaanguka kila siku.","Barabara ya Mikindani ina mashimo makubwa, pikipiki zinaanguka kila siku.",2026-07-08T10:32:14.947016+00:00
Security,Medium,Miritini,"theft wa mara kwa mara Miritini, there is no patrol ya polisi at night","Wizi wa mara kwa mara Miritini, hakuna doria ya polisi usiku.",2026-07-12T10:32:15.360256+00:00
Water,Medium,Tudor,"Sewage inatiririka mtaani Tudor, children wanacheza karibu na water machafu.","Sewage inatiririka mtaani Tudor, watoto wanacheza karibu na maji machafu.",2026-07-14T10:32:16.354488+00:00
Other,Medium,Changamwe,"factory cha saruji Changamwe kinatoa vumbi jingi, nyumba zote zina rangi nyeupe.","Kiwanda cha saruji Changamwe kinatoa vumbi jingi, nyumba zote zina rangi nyeupe.",2026-06-05T10:32:16.770716+00:00
Infrastructure,High,Nyali,"bridge la Nyali has partially collapsed kidogo, ni dangerous kwa magari makubwa.","Daraja la Nyali limebomoka kidogo, ni hatari kwa magari makubwa.",2026-07-18T10:32:17.184421+00:00
Water,Medium,Bombolulu,"there is no water clean ya to drink Bombolulu kwa week(s) tatu, tunanunua water ya chupa.","Hakuna maji safi ya kunywa Bombolulu kwa wiki tatu, tunanunua maji ya chupa.",2026-06-29T10:32:18.188752+00:00
Health,Medium,Junda,"Clinic ya Junda haina wafanyakazi wa kutosha, foleni ni ndefu sana asubuhi.","Clinic ya Junda haina wafanyakazi wa kutosha, foleni ni ndefu sana asubuhi.",2026-07-05T10:32:18.640572+00:00
Health,Medium,Mwembe Tayari,"There is illegal dumping happening every night near Mwembe Tayari market, it's becoming a health hazard.","There is illegal dumping happening every night near Mwembe Tayari market, it's becoming a health hazard.",2026-07-02T10:32:19.304404+00:00
Environment,Medium,Unspecified,Air quality karibu na bandari ni bad lorry nyingi zinapita na kutoa smoke mweusi.,"Air quality karibu na bandari ni mbaya, lorry nyingi zinapita na kutoa moshi mweusi.",2026-07-10T10:32:19.862095+00:00
Infrastructure,Low,Bamburi,"Small pothole near Bamburi beach road, not urgent but should be fixed eventually.","Small pothole near Bamburi beach road, not urgent but should be fixed eventually.",2026-06-10T10:32:20.269286+00:00
Water,Medium,Kongowea,"Kuna water garbage yanayotoka kwenye toilet cha jumuiya Kongowea, smell inaenea mtaa mzima.","Kuna maji taka yanayotoka kwenye choo cha jumuiya Kongowea, harufu inaenea mtaa mzima.",2026-07-09T10:32:20.667496+00:00
Security,Medium,Shanzu,"Streetlights in Shanzu have been off for two months, women feel unsafe walking at night.","Streetlights in Shanzu have been off for two months, women feel unsafe walking at night.",2026-05-21T10:32:21.668416+00:00
